Intent_id,Standard,Clause_or_control,Intent_type,Intent_statement,Evidence_examples,Strength,Mandatory,Applicability ,Exclusion_Justified,Process,Action_Title,compliance_status
INT-A5-184,ISO27001_2022,A.5.33,governance,A records retention schedule defining retention periods exists,Retention schedule,medium,NO,,,Governance & Policy,Protect Records,Not Started
INT-A5-185,ISO27001_2022,A.5.33,governance,Records are protected from loss destruction or unauthorized access or release,Access or integrity controls,strong,NO,,,Governance & Policy,Protect Records,Not Started
INT-A5-186,ISO27001_2022,A.5.33,governance,Records management documentation is reviewed at planned intervals,Review records,medium,NO,,,Governance & Policy,Protect Records,Not Started
INT-A5-187,ISO27001_2022,A.5.33,governance,Records management requirements are communicated to relevant personnel,Training or communications,medium,NO,,,Governance & Policy,Protect Records,Not Started
INT-A5-188,ISO27001_2022,A.5.34,privacy,A privacy or data protection policy exists and is maintained,Privacy policy,medium,NO,,,Governance & Policy,Protect Privacy and PII,Not Started
INT-A5-189,ISO27001_2022,A.5.34,privacy,A defined process exists to assess PII and related regulatory requirements,Privacy procedures or DPIA process,medium,NO,,,Governance & Policy,Protect Privacy and PII,Not Started
INT-A5-190,ISO27001_2022,A.5.34,privacy,Requirements exist to protect sensitive personally identifiable information,Privacy or security controls,medium,NO,,,Governance & Policy,Protect Privacy and PII,Not Started
INT-A5-191,ISO27001_2022,A.5.34,privacy,Technical measures for PII collection processing storage and disclosure are documented,Data protection controls documentation,medium,NO,,,Governance & Policy,Protect Privacy and PII,Not Started
INT-A5-192,ISO27001_2022,A.5.34,privacy,PII collection use and retention are limited to the minimum necessary with appropriate consent,Privacy notices or consent records,medium,NO,,,Governance & Policy,Protect Privacy and PII,Not Started
INT-A5-193,ISO27001_2022,A.5.34,privacy,PII holdings are periodically reviewed for authorized purpose and retention,Review logs or DPIA updates,medium,NO,,,Governance & Policy,Protect Privacy and PII,Not Started
INT-A5-194,ISO27001_2022,A.5.34,privacy,A process exists to manage PII disclosure requests and stakeholder communication,Disclosure procedures or request logs,medium,NO,,,Governance & Policy,Protect Privacy and PII,Not Started
INT-A5-195,ISO27001_2022,A.5.34,privacy,A register of third parties receiving PII including purpose and date is maintained,Third party disclosure register,medium,NO,,,Governance & Policy,Protect Privacy and PII,Not Started
INT-A5-196,ISO27001_2022,A.5.34,privacy,Privacy documentation is reviewed at planned intervals,Review records,medium,NO,,,Governance & Policy,Protect Privacy and PII,Not Started
INT-A5-197,ISO27001_2022,A.5.34,privacy,Privacy requirements are communicated to relevant personnel,Training or communications,medium,NO,,,Governance & Policy,Protect Privacy and PII,Not Started
INT-A5-198,ISO27001_2022,A.5.35,assurance,Independent internal or external reviews of information security are performed as planned,Audit reports,medium,NO,,,Governance & Policy,Conduct Independent Security Reviews,Not Started
INT-A5-199,ISO27001_2022,A.5.35,assurance,Review findings are reported tracked and remediation actions are managed,Corrective action plans or issue tracker,medium,NO,,,Governance & Policy,Conduct Independent Security Reviews,Not Started
INT-A5-200,ISO27001_2022,A.5.36,assurance,Processes exist to monitor compliance with information security policies and standards,Compliance monitoring procedures,medium,NO,,,Governance & Policy,Monitor Compliance with Policies,Not Started
INT-A5-201,ISO27001_2022,A.5.36,assurance,Compliance monitoring activities are performed within defined intervals,Checklists or audit results,medium,NO,,,Governance & Policy,Monitor Compliance with Policies,Not Started
INT-A5-202,ISO27001_2022,A.5.36,assurance,Independent security assessments occur at least annually and after major changes,Assessment reports,medium,NO,,,Governance & Policy,Monitor Compliance with Policies,Not Started
INT-A5-203,ISO27001_2022,A.5.36,assurance,Penetration testing is performed at planned intervals and after major changes,Penetration test reports,medium,NO,,,Governance & Policy,Monitor Compliance with Policies,Not Started
INT-A5-204,ISO27001_2022,A.5.36,assurance,Identified findings are remediated and retested to verify closure,Remediation tickets or retest evidence,medium,NO,,,Governance & Policy,Monitor Compliance with Policies,Not Started
INT-A5-205,ISO27001_2022,A.5.36,assurance,Corrective or disciplinary actions are recorded for noncompliance,HR records or CAPA logs,medium,NO,,,Governance & Policy,Monitor Compliance with Policies,Not Started
INT-A5-206,ISO27001_2022,A.5.37,operations,Standard operating procedures for processing facilities are documented and approved,SOP list or approvals,medium,NO,,,Governance & Policy,Document Operating Procedures,Not Started
INT-A5-207,ISO27001_2022,A.5.37,operations,Standard operating procedures are accessible to personnel who require them,Intranet or procedure repository,medium,NO,,,Governance & Policy,Document Operating Procedures,Not Started
INT-A5-208,ISO27001_2022,A.5.37,operations,Standard operating procedures are reviewed and updated at planned intervals,Review records or version history,medium,NO,,,Governance & Policy,Document Operating Procedures,Not Started
INT-A6-01,ISO27001_2022,A.6.1,people,A documented background screening policy or procedure exists for personnel and contractors,Background Screening Policy,medium,NO,,,Governance & Policy,Screen Candidates,Not Started
INT-A6-02,ISO27001_2022,A.6.1,people,Background screening includes verification of employment history,Screening procedure,medium,NO,,,Governance & Policy,Screen Candidates,Not Started
INT-A6-03,ISO27001_2022,A.6.1,people,Background screening includes validation of resume or CV completeness and accuracy,Screening procedure,medium,NO,,,Governance & Policy,Screen Candidates,Not Started
INT-A6-04,ISO27001_2022,A.6.1,people,Background screening includes verification of academic or professional qualifications,Screening reports,medium,NO,,,Governance & Policy,Screen Candidates,Not Started
INT-A6-05,ISO27001_2022,A.6.1,people,Background screening includes independent identity verification,ID verification records,medium,NO,,,Governance & Policy,Screen Candidates,Not Started
INT-A6-06,ISO27001_2022,A.6.1,people,Criminal background checks are performed where legally permitted,Screening reports,medium,NO,,,Governance & Policy,Screen Candidates,Not Started
INT-A6-07,ISO27001_2022,A.6.1,people,Screening depth is risk based and proportional to role criticality,Screening policy,medium,NO,,,Governance & Policy,Screen Candidates,Not Started
INT-A6-08,ISO27001_2022,A.6.1,people,Authorized internal or external parties for conducting screening are defined,Vendor contracts or screening policy,medium,NO,,,Governance & Policy,Screen Candidates,Not Started
INT-A6-09,ISO27001_2022,A.6.1,people,Screening timing and frequency are defined including pre employment and periodic checks,Screening policy,medium,NO,,,Governance & Policy,Screen Candidates,Not Started
INT-A6-10,ISO27001_2022,A.6.1,people,Screening policy is reviewed at planned intervals,Review records,medium,NO,,,Governance & Policy,Screen Candidates,Not Started
INT-A6-11,ISO27001_2022,A.6.1,people,Background screening is completed prior to start of employment for sampled personnel,Onboarding checklists,medium,NO,,,Governance & Policy,Screen Candidates,Not Started
INT-A6-12,ISO27001_2022,A.6.2,people,Employment or contractor agreements require signature of confidentiality and asset protection obligations,Employment agreements or NDAs,medium,NO,,,Governance & Policy,Define Employment Security Terms,Not Started
INT-A6-13,ISO27001_2022,A.6.2,people,Employment agreements explicitly define information security responsibilities,Signed agreements,medium,NO,,,Governance & Policy,Define Employment Security Terms,Not Started
INT-A6-14,ISO27001_2022,A.6.2,people,Confidentiality and NDA requirements are reviewed at planned intervals,HR review records,medium,NO,,,Governance & Policy,Define Employment Security Terms,Not Started
INT-A6-15,ISO27001_2022,A.6.2,people,Information security terms are communicated during onboarding or HR orientation,Onboarding materials,medium,NO,,,Governance & Policy,Define Employment Security Terms,Not Started
INT-A6-16,ISO27001_2022,A.6.3,people,A formal information security awareness and training program exists,Awareness training policy,medium,NO,,,Governance & Policy,Conduct Security Awareness Training,Not Started
INT-A6-17,ISO27001_2022,A.6.3,people,Security awareness training is mandatory upon hire and at least annually,Training policy or LMS,medium,NO,,,Governance & Policy,Conduct Security Awareness Training,Not Started
INT-A6-18,ISO27001_2022,A.6.3,people,Personnel are required to acknowledge understanding of security policies annually,LMS attestations,weak,NO,,,Governance & Policy,Conduct Security Awareness Training,Not Started
INT-A6-19,ISO27001_2022,A.6.3,people,Security awareness activities are delivered through multiple communication channels,Awareness materials,medium,NO,,,Governance & Policy,Conduct Security Awareness Training,Not Started
INT-A6-20,ISO27001_2022,A.6.3,people,Training completion and attendance records are maintained,LMS reports,medium,NO,,,Governance & Policy,Conduct Security Awareness Training,Not Started
INT-A6-21,ISO27001_2022,A.6.3,people,Security awareness training materials are maintained and accessible,Training content repository,medium,NO,,,Governance & Policy,Conduct Security Awareness Training,Not Started
INT-A6-22,ISO27001_2022,A.6.3,people,Training participation is monitored and tracked for compliance,LMS dashboards,medium,NO,,,Governance & Policy,Conduct Security Awareness Training,Not Started
INT-A6-23,ISO27001_2022,A.6.3,people,Security awareness documentation is reviewed at planned intervals,Review records,medium,NO,,,Governance & Policy,Conduct Security Awareness Training,Not Started
INT-A6-24,ISO27001_2022,A.6.4,people,A formal disciplinary process exists for information security violations,Disciplinary policy,medium,NO,,,Governance & Policy,Enforce Disciplinary Process,Not Started
INT-A6-25,ISO27001_2022,A.6.4,people,Disciplinary process defines graduated responses based on severity and recurrence,Disciplinary policy,medium,NO,,,Governance & Policy,Enforce Disciplinary Process,Not Started
INT-A6-26,ISO27001_2022,A.6.4,people,Disciplinary process allows immediate restriction or removal of access where necessary,HR procedures,medium,NO,,,Governance & Policy,Enforce Disciplinary Process,Not Started
INT-A6-27,ISO27001_2022,A.6.4,people,Disciplinary procedures are communicated to employees,HR handbook or onboarding materials,medium,NO,,,Governance & Policy,Enforce Disciplinary Process,Not Started
INT-A6-28,ISO27001_2022,A.6.4,people,Disciplinary documentation is reviewed at planned intervals,Review records,medium,NO,,,Governance & Policy,Enforce Disciplinary Process,Not Started
INT-A6-29,ISO27001_2022,A.6.4,people,Disciplinary actions related to information security are recorded,HR case logs,medium,NO,,,Governance & Policy,Enforce Disciplinary Process,Not Started
INT-A6-30,ISO27001_2022,A.6.5,people,A formal offboarding or termination process exists for all personnel types,Offboarding procedures,medium,NO,,,Governance & Policy,Terminate or Change Employment,Not Started
INT-A6-31,ISO27001_2022,A.6.5,people,Information security responsibilities that continue after termination are defined,HR policy,medium,NO,,,Governance & Policy,Terminate or Change Employment,Not Started
INT-A6-32,ISO27001_2022,A.6.5,people,Access rights are revoked promptly upon termination or role change,Access revocation records,strong,NO,,,Governance & Policy,Terminate or Change Employment,Not Started
INT-A6-33,ISO27001_2022,A.6.5,people,Ongoing confidentiality obligations after termination are enforced,NDA clauses,medium,NO,,,Governance & Policy,Terminate or Change Employment,Not Started
INT-A6-34,ISO27001_2022,A.6.5,people,Post termination information security responsibilities are communicated,Exit process records,medium,NO,,,Governance & Policy,Terminate or Change Employment,Not Started
INT-A6-35,ISO27001_2022,A.6.6,people,NDAs or confidentiality agreements are required upon hire or engagement,Signed NDAs,strong,NO,,,Governance & Policy,Enforce Confidentiality Agreements,Not Started
INT-A6-36,ISO27001_2022,A.6.6,people,Confidentiality agreement requirements are reviewed at planned intervals,Policy review records,medium,NO,,,Governance & Policy,Enforce Confidentiality Agreements,Not Started
INT-A6-37,ISO27001_2022,A.6.6,people,NDAs include information security and asset protection obligations,NDA templates,medium,NO,,,Governance & Policy,Enforce Confidentiality Agreements,Not Started
INT-A6-38,ISO27001_2022,A.6.6,people,Confidentiality obligations are communicated during onboarding or HR processes,HR materials,weak,NO,,,Governance & Policy,Enforce Confidentiality Agreements,Not Started
INT-A6-39,ISO27001_2022,A.6.7,people,A documented remote or teleworking security policy exists,Remote Working Policy,medium,NO,,,Governance & Policy,Secure Remote Working,Not Started
INT-A6-40,ISO27001_2022,A.6.7,people,Remote working policy defines security controls for data access and processing,Remote Working Policy,medium,NO,,,Governance & Policy,Secure Remote Working,Not Started
INT-A6-41,ISO27001_2022,A.6.7,people,Remote working security requirements are communicated to personnel,Training records,medium,NO,,,Governance & Policy,Secure Remote Working,Not Started
INT-A6-42,ISO27001_2022,A.6.7,people,Remote working policy is reviewed at planned intervals,Review records,medium,NO,,,Governance & Policy,Secure Remote Working,Not Started
INT-A6-43,ISO27001_2022,A.6.7,people,Management approval is required before provisioning remote access,Access approval workflows,medium,NO,,,Governance & Policy,Secure Remote Working,Not Started
INT-A6-44,ISO27001_2022,A.6.7,people,Only secure communication protocols are used for remote access,VPN configuration,strong,NO,,,Governance & Policy,Secure Remote Working,Not Started
INT-A6-45,ISO27001_2022,A.6.7,people,Multi factor authentication is enforced for remote access,IAM or VPN configuration,strong,NO,,,Governance & Policy,Secure Remote Working,Not Started
INT-A6-46,ISO27001_2022,A.6.7,people,Remote access activity is monitored and reviewed,Access logs,strong,NO,,,Governance & Policy,Secure Remote Working,Not Started
INT-A6-47,ISO27001_2022,A.6.8,people,A defined mechanism exists for reporting suspected or observed security events,Event reporting procedure,medium,NO,,,Governance & Policy,Report Security Events,Not Started
INT-A6-48,ISO27001_2022,A.6.8,people,Reporting channels timelines and responsibilities are clearly defined,Event reporting procedure,medium,NO,,,Governance & Policy,Report Security Events,Not Started
INT-A6-49,ISO27001_2022,A.6.8,people,Reported security events are reviewed by designated personnel,Incident logs,medium,NO,,,Governance & Policy,Report Security Events,Not Started
INT-A6-50,ISO27001_2022,A.6.8,people,Personnel are trained or informed on how to report security events,Awareness materials,weak,NO,,,Governance & Policy,Report Security Events,Not Started
INT-A6-51,ISO27001_2022,A.6.8,people,Security event and incident reports are recorded and retained,Incident records,medium,NO,,,Governance & Policy,Report Security Events,Not Started
INT-A7-01,ISO27001_2022,A.7.1,physical,Physical security perimeters are defined to protect information and assets,Site layout or security policy,medium,NO,,,HR Security,Secure Physical Perimeters,Not Started
INT-A7-02,ISO27001_2022,A.7.1,physical,Physical perimeter controls such as walls doors fences or gates are implemented,Facilities records or walkthrough evidence,strong,NO,,,HR Security,Secure Physical Perimeters,Not Started
INT-A7-03,ISO27001_2022,A.7.1,physical,Restricted or sensitive areas are clearly identified and controlled,Access control maps or signage,medium,NO,,,HR Security,Secure Physical Perimeters,Not Started
INT-A7-04,ISO27001_2022,A.7.2,physical,Physical entry controls restrict access to authorized individuals,Badge systems or access procedures,strong,NO,,,HR Security,Secure Physical Entry,Not Started
INT-A7-05,ISO27001_2022,A.7.2,physical,Visitor access is logged managed and supervised,Visitor logs or sign-in systems,medium,NO,,,HR Security,Secure Physical Entry,Not Started
INT-A7-06,ISO27001_2022,A.7.2,physical,Physical access rights are authorized based on role or job function,Access approval records,medium,NO,,,HR Security,Secure Physical Entry,Not Started
INT-A7-07,ISO27001_2022,A.7.3,physical,Offices rooms and facilities housing information assets are physically secured,Locks or facility controls,strong,NO,,,HR Security,Secure Offices and Facilities,Not Started
INT-A7-08,ISO27001_2022,A.7.3,physical,Unattended areas are protected against unauthorized access,Clear desk or locking controls,medium,NO,,,HR Security,Secure Offices and Facilities,Not Started
INT-A7-09,ISO27001_2022,A.7.3,physical,Critical equipment placement reduces risks of unauthorized access or damage,Equipment placement records,medium,NO,,,HR Security,Secure Offices and Facilities,Not Started
INT-A7-10,ISO27001_2022,A.7.4,physical,Physical security monitoring mechanisms such as CCTV or alarms are implemented,Monitoring systems,strong,NO,,,HR Security,Monitor Physical Security,Not Started
INT-A7-11,ISO27001_2022,A.7.4,physical,Physical security monitoring records are retained,CCTV retention logs,medium,NO,,,HR Security,Monitor Physical Security,Not Started
INT-A7-12,ISO27001_2022,A.7.4,physical,Physical security incidents are detected recorded and reviewed,Incident logs,medium,NO,,,HR Security,Monitor Physical Security,Not Started
INT-A7-13,ISO27001_2022,A.7.4,physical,Responsibility for monitoring and responding to physical security events is assigned,Security roles or SOPs,medium,NO,,,HR Security,Monitor Physical Security,Not Started
INT-A7-14,ISO27001_2022,A.7.5,physical,Environmental controls such as fire HVAC flood or humidity protection are implemented,Facilities or datacenter reports,strong,NO,,,HR Security,Protect Against Environmental Threats,Not Started
INT-A7-15,ISO27001_2022,A.7.5,physical,Environmental controls are monitored and tested periodically,Monitoring or maintenance logs,strong,NO,,,HR Security,Protect Against Environmental Threats,Not Started
INT-A7-16,ISO27001_2022,A.7.5,physical,Emergency notification mechanisms exist for physical or environmental incidents,Alerting procedures,medium,NO,,,HR Security,Protect Against Environmental Threats,Not Started
INT-A7-17,ISO27001_2022,A.7.5,physical,Cloud provider physical and environmental controls are verified,SOC 2 or vendor assessments,strong,NO,,,HR Security,Protect Against Environmental Threats,Not Started
INT-A7-18,ISO27001_2022,A.7.6,physical,Procedures exist for working within secure areas,Secure area procedures,medium,NO,,,HR Security,Work in Secure Areas,Not Started
INT-A7-19,ISO27001_2022,A.7.6,physical,Personnel and visitors are clearly distinguishable onsite,ID or badge systems,strong,NO,,,HR Security,Work in Secure Areas,Not Started
INT-A7-20,ISO27001_2022,A.7.6,physical,Visitor badges are issued and expire automatically,Visitor badge system,medium,NO,,,HR Security,Work in Secure Areas,Not Started
INT-A7-21,ISO27001_2022,A.7.6,physical,Visitor identification is surrendered upon exit,Visitor procedures,medium,NO,,,HR Security,Work in Secure Areas,Not Started
INT-A7-22,ISO27001_2022,A.7.6,physical,Visitor access logs are maintained for secure areas,Visitor logs,medium,NO,,,HR Security,Work in Secure Areas,Not Started
INT-A7-23,ISO27001_2022,A.7.6,physical,Visitor logs are retained for a defined period,Log retention policy,weak,NO,,,HR Security,Work in Secure Areas,Not Started
INT-A7-24,ISO27001_2022,A.7.6,physical,Secure area rules are communicated to personnel and visitors,Training or signage,weak,NO,,,HR Security,Work in Secure Areas,Not Started
INT-A7-25,ISO27001_2022,A.7.7,physical,A clear desk and clear screen policy exists,Clear Desk Policy,medium,NO,,,HR Security,Enforce Clear Desk and Screen Policy,Not Started
INT-A7-26,ISO27001_2022,A.7.7,physical,Sensitive information and removable media are secured when unattended,Desk audits,medium,NO,,,HR Security,Enforce Clear Desk and Screen Policy,Not Started
INT-A7-27,ISO27001_2022,A.7.7,physical,Workstations are locked or logged off when unattended,System settings,medium,NO,,,HR Security,Enforce Clear Desk and Screen Policy,Not Started
INT-A7-28,ISO27001_2022,A.7.7,physical,Clear desk and clear screen requirements are communicated,Training materials,weak,NO,,,HR Security,Enforce Clear Desk and Screen Policy,Not Started
INT-A7-29,ISO27001_2022,A.7.7,physical,Clear desk and clear screen policy is reviewed periodically,Policy review records,medium,NO,,,HR Security,Enforce Clear Desk and Screen Policy,Not Started
INT-A7-30,ISO27001_2022,A.7.8,physical,Equipment and media are physically secured against unauthorized access,Facility controls,strong,NO,,,HR Security,Secure Equipment Site and Placement,Not Started
INT-A7-31,ISO27001_2022,A.7.8,physical,Backup media storage locations are periodically reviewed for security,Backup reviews,medium,NO,,,HR Security,Secure Equipment Site and Placement,Not Started
INT-A7-32,ISO27001_2022,A.7.8,physical,Equipment and media inventories are maintained,Asset inventory,medium,NO,,,HR Security,Secure Equipment Site and Placement,Not Started
INT-A7-33,ISO27001_2022,A.7.8,physical,Periodic media inventory reviews are conducted,Inventory logs,medium,NO,,,HR Security,Secure Equipment Site and Placement,Not Started
INT-A7-34,ISO27001_2022,A.7.9,physical,Assets used off premises are protected through physical or technical controls,Remote asset procedures,medium,NO,,,HR Security,Secure Off-Premises Assets,Not Started
INT-A7-35,ISO27001_2022,A.7.9,physical,Media transported off site is secured through encryption or physical protection,Transport procedures,strong,NO,,,HR Security,Secure Off-Premises Assets,Not Started
INT-A7-36,ISO27001_2022,A.7.9,physical,Trackable delivery methods are used for off site media transport,Courier records,medium,NO,,,HR Security,Secure Off-Premises Assets,Not Started
INT-A7-37,ISO27001_2022,A.7.10,physical,A removable media management policy exists,Removable Media Policy,strong,NO,,,HR Security,Manage Removable Media,Not Started
INT-A7-38,ISO27001_2022,A.7.10,physical,Encryption is required for removable media containing sensitive data,Encryption standards,strong,NO,,,HR Security,Manage Removable Media,Not Started
INT-A7-39,ISO27001_2022,A.7.10,physical,Removable media policy is reviewed periodically,Policy review records,medium,NO,,,HR Security,Manage Removable Media,Not Started
INT-A7-40,ISO27001_2022,A.7.10,physical,Removable media requirements are communicated to personnel,Training records,medium,NO,,,HR Security,Manage Removable Media,Not Started
INT-A7-41,ISO27001_2022,A.7.10,physical,Use of removable media requires documented approval or exception,Approval records,strong,NO,,,HR Security,Manage Removable Media,Not Started
INT-A7-42,ISO27001_2022,A.7.10,physical,Technical controls restrict or monitor removable media usage,DLP or endpoint controls,strong,NO,,,HR Security,Manage Removable Media,Not Started
INT-A7-43,ISO27001_2022,A.7.11,physical,Processes exist to manage supporting utilities for information processing facilities,Utilities procedures,strong,NO,,,HR Security,Secure Supporting Utilities,Not Started
INT-A7-44,ISO27001_2022,A.7.11,physical,Emergency power sources are available for critical facilities,UPS or generator records,strong,NO,,,HR Security,Secure Supporting Utilities,Not Started
INT-A7-45,ISO27001_2022,A.7.11,physical,Emergency lighting activates during power outages,Facility inspection records,medium,NO,,,HR Security,Secure Supporting Utilities,Not Started
INT-A7-46,ISO27001_2022,A.7.11,physical,Emergency power shutoff mechanisms are available,Facility design records,medium,NO,,,HR Security,Secure Supporting Utilities,Not Started
INT-A7-47,ISO27001_2022,A.7.11,physical,Cloud providers implement supporting utility controls,SOC 2 or assurance reports,strong,NO,,,HR Security,Secure Supporting Utilities,Not Started
INT-A7-48,ISO27001_2022,A.7.12,physical,Cabling is installed within protected rooms or spaces,Facility design standards,medium,NO,,,HR Security,Secure Power and Cabling,Not Started
INT-A7-49,ISO27001_2022,A.7.12,physical,Cabling is protected from unauthorized access,Site inspection evidence,strong,NO,,,HR Security,Secure Power and Cabling,Not Started
INT-A7-50,ISO27001_2022,A.7.12,physical,Cabling is protected from damage or interference,Inspection records,strong,NO,,,HR Security,Secure Power and Cabling,Not Started
INT-A7-51,ISO27001_2022,A.7.12,physical,Cabling security measures are reviewed and maintained,Maintenance logs,medium,NO,,,HR Security,Secure Power and Cabling,Not Started
INT-A7-52,ISO27001_2022,A.7.13,physical,Procedures exist for scheduled and unscheduled equipment maintenance,Maintenance procedures,strong,NO,,,HR Security,Maintain Equipment,Not Started
INT-A7-53,ISO27001_2022,A.7.13,physical,Equipment maintenance is performed in a timely manner,Service tickets,medium,NO,,,HR Security,Maintain Equipment,Not Started
INT-A7-54,ISO27001_2022,A.7.13,physical,Maintenance and repair activities are recorded and retained,Maintenance logs,strong,NO,,,HR Security,Maintain Equipment,Not Started
INT-A7-55,ISO27001_2022,A.7.13,physical,Maintenance records are periodically reviewed,Review records,medium,NO,,,HR Security,Maintain Equipment,Not Started
INT-A7-56,ISO27001_2022,A.7.13,physical,Security controls are applied during maintenance activities,Vendor agreements or SOPs,medium,NO,,,HR Security,Maintain Equipment,Not Started
INT-A7-57,ISO27001_2022,A.7.14,physical,A secure disposal and reuse policy exists for equipment and media,Disposal policy,strong,NO,,,HR Security,Securely Dispose of Equipment,Not Started
INT-A7-58,ISO27001_2022,A.7.14,physical,Approved tools and techniques are defined for sanitization or disposal,Approved tools list,strong,NO,,,HR Security,Securely Dispose of Equipment,Not Started
INT-A7-59,ISO27001_2022,A.7.14,physical,Secure disposal and reuse policy is reviewed periodically,Policy review records,medium,NO,,,HR Security,Securely Dispose of Equipment,Not Started
INT-A7-60,ISO27001_2022,A.7.14,physical,Secure disposal requirements are communicated to personnel,Training records,medium,NO,,,HR Security,Securely Dispose of Equipment,Not Started
INT-A7-61,ISO27001_2022,A.7.14,physical,Sanitization and disposal records are maintained,Sanitization logs,strong,NO,,,HR Security,Securely Dispose of Equipment,Not Started
INT-A7-62,ISO27001_2022,A.7.14,physical,Disposal and sanitization actions are approved and tracked,Disposal approvals,strong,NO,,,HR Security,Securely Dispose of Equipment,Not Started
INT-A7-63,ISO27001_2022,A.7.14,physical,Disposal and sanitization actions are verified and reviewed,Audit or review records,medium,NO,,,HR Security,Securely Dispose of Equipment,Not Started
INT-A8-01,ISO27001_2022,A.8.1,technical,A documented endpoint security policy exists,Endpoint or Mobile Device Policy,strong,NO,,,Asset Management,Secure User Endpoints,Not Started
INT-A8-02,ISO27001_2022,A.8.1,technical,Data stored on endpoint devices is encrypted,Encryption settings or MDM config,strong,NO,,,Asset Management,Secure User Endpoints,Not Started
INT-A8-03,ISO27001_2022,A.8.1,technical,Only authorized applications from approved sources can be installed on endpoints,MDM policies or app allowlists,strong,NO,,,Asset Management,Secure User Endpoints,Not Started
INT-A8-04,ISO27001_2022,A.8.1,technical,Secure configuration and hardening requirements are defined for endpoints before production use,Hardening baseline or SOP,strong,NO,,,Asset Management,Secure User Endpoints,Not Started
INT-A8-05,ISO27001_2022,A.8.1,technical,Endpoint security policy is reviewed within the last 12 months,Policy review record,medium,NO,,,Asset Management,Secure User Endpoints,Not Started
INT-A8-06,ISO27001_2022,A.8.1,technical,Endpoint security requirements are communicated to relevant personnel,Training records or emails,medium,NO,,,Asset Management,Secure User Endpoints,Not Started
INT-A8-07,ISO27001_2022,A.8.1,technical,A centralized endpoint or mobile device management solution is deployed,MDM or endpoint management console,strong,NO,,,Asset Management,Secure User Endpoints,Not Started
INT-A8-08,ISO27001_2022,A.8.1,technical,Hardened configurations are used for endpoint devices issued for high risk travel,Device profiles or travel SOP,medium,NO,,,Asset Management,Secure User Endpoints,Not Started
INT-A8-09,ISO27001_2022,A.8.1,technical,Post travel security safeguards are applied to devices returning from high risk locations,Post travel checks or SOP,medium,NO,,,Asset Management,Secure User Endpoints,Not Started
INT-A8-10,ISO27001_2022,A.8.1,technical,Endpoint devices wipe or purge data after a defined number of failed login attempts,MDM security settings,strong,NO,,,Asset Management,Secure User Endpoints,Not Started
INT-A8-11,ISO27001_2022,A.8.1,technical,Lost or stolen endpoint devices are reported and recorded,Incident records or asset logs,strong,NO,,,Asset Management,Secure User Endpoints,Not Started
INT-A8-12,ISO27001_2022,A.8.1,technical,Remote wipe capability exists for lost or stolen endpoint devices,MDM configuration or logs,strong,NO,,,Asset Management,Secure User Endpoints,Not Started
INT-A8-13,ISO27001_2022,A.8.2,technical,Privileged access rights are limited to the minimum required,Privileged access policy,strong,NO,,,Asset Management,Restrict Privileged Access,Not Started
INT-A8-14,ISO27001_2022,A.8.2,technical,Privileged access is assigned only to defined roles,Role definitions or access matrix,strong,NO,,,Asset Management,Restrict Privileged Access,Not Started
INT-A8-15,ISO27001_2022,A.8.2,technical,Privileged access requires documented approval,Approval records,strong,NO,,,Asset Management,Restrict Privileged Access,Not Started
INT-A8-16,ISO27001_2022,A.8.2,technical,Additional controls are applied to privileged users managing critical systems,PAM settings or SOP,strong,NO,,,Asset Management,Restrict Privileged Access,Not Started
INT-A8-17,ISO27001_2022,A.8.2,technical,Privileged access uses separate accounts from standard user accounts,Account listings,strong,NO,,,Asset Management,Restrict Privileged Access,Not Started
INT-A8-18,ISO27001_2022,A.8.2,technical,Controls enforce use of non privileged accounts for non critical activities,PAM controls or system configuration,strong,NO,,,Asset Management,Restrict Privileged Access,Not Started
INT-A8-19,ISO27001_2022,A.8.3,technical,Users or processes are uniquely identified and authenticated,IAM configuration,strong,NO,,,Asset Management,Restrict Information Access,Not Started
INT-A8-20,ISO27001_2022,A.8.3,technical,Reuse or replication of user identifiers is restricted,IAM rules,medium,NO,,,Asset Management,Restrict Information Access,Not Started
INT-A8-21,ISO27001_2022,A.8.3,technical,Access control systems enforce default deny configuration,ACLs or IAM configuration,strong,NO,,,Asset Management,Restrict Information Access,Not Started
INT-A8-22,ISO27001_2022,A.8.3,technical,Shared user accounts are prohibited unless formally approved,Policy or exception records,strong,NO,,,Asset Management,Restrict Information Access,Not Started
INT-A8-23,ISO27001_2022,A.8.3,technical,All user service and privileged accounts have designated owners,Account inventory,strong,NO,,,Asset Management,Restrict Information Access,Not Started
INT-A8-24,ISO27001_2022,A.8.3,technical,Service accounts are not shared across production and non production environments,Credential records,strong,NO,,,Asset Management,Restrict Information Access,Not Started
INT-A8-25,ISO27001_2022,A.8.4,technical,Version control systems are used to manage and secure source code,Git or repo platforms,strong,NO,,,Asset Management,Secure Source Code,Not Started
INT-A8-26,ISO27001_2022,A.8.4,technical,Access to source code repositories is restricted to authorized users,Repository access controls,strong,NO,,,Asset Management,Secure Source Code,Not Started
INT-A8-27,ISO27001_2022,A.8.4,technical,Role based access is enforced for source code repositories,Repo role assignments,strong,NO,,,Asset Management,Secure Source Code,Not Started
INT-A8-28,ISO27001_2022,A.8.4,technical,Source code access and changes are logged and monitored,Repo audit logs,strong,NO,,,Asset Management,Secure Source Code,Not Started
